ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,type
2021-08-14T00:00:00.000Z,3.322371463058613E9,2.1898148410374513E9,4.301883519694422E9,3.322371463058613E9,3.322371463058613E9,-7.105080161817673E7,-7.105080161817673E7,-7.105080161817673E7,-7.105080161817673E7,-7.105080161817673E7,-7.105080161817673E7,0.0,0.0,0.0,3.251320661440436E9,Forecast
2021-09-11T00:00:00.000Z,3.3668184700763855E9,2.8294224182403517E9,4.946436515017782E9,3.3668184700763855E9,3.3668184700763855E9,5.0517555579565024E8,5.0517555579565024E8,5.0517555579565024E8,5.0517555579565024E8,5.0517555579565024E8,5.0517555579565024E8,0.0,0.0,0.0,3.871994025872036E9,Forecast
2021-10-09T00:00:00.000Z,3.411265477053861E9,4.187897888209804E9,6.194672240357869E9,3.411265477053861E9,3.411265477053861E9,1.758032278449346E9,1.758032278449346E9,1.758032278449346E9,1.758032278449346E9,1.758032278449346E9,1.758032278449346E9,0.0,0.0,0.0,5.169297755503207E9,Forecast
2021-11-06T00:00:00.000Z,3.4557124839910393E9,3.883915170747672E9,5.965690104318483E9,3.4557124839910393E9,3.4557124839910393E9,1.4480561842165215E9,1.4480561842165215E9,1.4480561842165215E9,1.4480561842165215E9,1.4480561842165215E9,1.4480561842165215E9,0.0,0.0,0.0,4.903768668207561E9,Forecast
2021-12-04T00:00:00.000Z,3.500159491044352E9,3.5213071327098374E9,5.577471320653993E9,3.500159491044352E9,3.500159491044352E9,1.0575465808802856E9,1.0575465808802856E9,1.0575465808802856E9,1.0575465808802856E9,1.0575465808802856E9,1.0575465808802856E9,0.0,0.0,0.0,4.557706071924638E9,Forecast
2022-01-01T00:00:00.000Z,3.5446064981363773E9,3.046797506928159E9,5.101482017329762E9,3.5446064981363773E9,3.5446064981363773E9,4.917934342011573E8,4.917934342011573E8,4.917934342011573E8,4.917934342011573E8,4.917934342011573E8,4.917934342011573E8,0.0,0.0,0.0,4.0363999323375344E9,Forecast
2022-01-29T00:00:00.000Z,3.5890535051026273E9,1.8096325319751737E9,3.866868296587388E9,3.5890535051026273E9,3.5890535051026273E9,-7.410978071803131E8,-7.410978071803131E8,-7.410978071803131E8,-7.410978071803131E8,-7.410978071803131E8,-7.410978071803131E8,0.0,0.0,0.0,2.847955697922314E9,Forecast
2022-02-26T00:00:00.000Z,3.6335005120688767E9,1.8987659618409126E9,3.8503353895478997E9,3.6335005120688767E9,3.6335005120688767E9,-8.012552062626835E8,-8.012552062626835E8,-8.012552062626835E8,-8.012552062626835E8,-8.012552062626835E8,-8.012552062626835E8,0.0,0.0,0.0,2.8322453058061934E9,Forecast
2022-03-26T00:00:00.000Z,3.677947519035127E9,2.3241013303888917E9,4.35949474321133E9,3.677947519035127E9,3.677947519035127E9,-3.370758459062352E8,-3.370758459062352E8,-3.370758459062352E8,-3.370758459062352E8,-3.370758459062352E8,-3.370758459062352E8,0.0,0.0,0.0,3.340871673128892E9,Forecast
2022-04-23T00:00:00.000Z,3.7223945260013776E9,1.5916425952441897E9,3.6563564373233895E9,3.7223945260013776E9,3.7223945260013776E9,-1.102638747877117E9,-1.102638747877117E9,-1.102638747877117E9,-1.102638747877117E9,-1.102638747877117E9,-1.102638747877117E9,0.0,0.0,0.0,2.619755778124261E9,Forecast
